Facility ID,Facility Name,Address Line 1,Address Line 2,City,State,ZIP,Latitude,Longitude,Total Rated Electric Generation (kW),Total Rated Heat Generation (MBtu/h),Total Rated Electrical Discharge Capacity (kW),Total Rated Electrical Storage Capacity (kWh),Total Rated Cooling Energy Discharge Capacity (ton),Total Equivalent Electrical Discharge Capacity from Cooling Sources (kW),Total Rated Cooling Energy Storage Capacity (ton-hour),Total Equivalent Electrical Storage Capacity from Cooling Sources (kWh),Total Rated Thermal Energy Discharge Capacity (MBtu/h),Total Equivalent Electrical Discharge Capacity from Thermal Sources (kW),Total Rated Thermal Energy Storage Capacity (MBtu),Total Equivalent Electrical Storage Capacity from Thermal Sources (kWh),Facility Submits Data on Electricity Imported from Utility?,Source Weather Station for Ambient Temperature Data,Metric Data Last Modified,Installed Systems,Alternate Name(s),Facility Website (external),Category,Subcategory,Floor Area (ft²),No. of Occupancy Units,Electric Utility,Gas Utility,NYISO Zone,Located in Flood Plain
1013,Facility B in zip code 11779,,,Ronkonkoma,NY,11779,40.812958,-73.11449,0,0,0,0,0,0,320,0,0,0,0,0,FALSE,Custom,8/2/19 14:04,1,,,,,,,Long Island Power Authority (PSEG-LI),,K - Long Island,
1014,Facility A in zip code 11757,,,Lindenhurst,NY,11757,40.68901,-73.373328,0,0,0,0,0,0,1920,0,0,0,0,0,FALSE,Custom,8/2/19 14:04,1,,,Education,,,,Long Island Power Authority (PSEG-LI),,K - Long Island,
1015,Facility B in zip code 11757,,,Lindenhurst,NY,11757,40.68901,-73.373328,0,0,0,0,0,0,1680,0,0,0,0,0,FALSE,Custom,8/2/19 14:04,1,,,Office,,,,Long Island Power Authority (PSEG-LI),,K - Long Island,
1016,Facility A in zip code 12065,,,Halfmoon,NY,12065,42.852284,-73.785597,0,0,0,0,0,0,550,0,0,0,0,0,FALSE,Custom,8/2/19 14:04,1,,,Utilities Water and Waste Management,,,,National Grid - Upstate NY (Niagara Mohawk),,F - Capital,
1017,Facility A in zip code 12068,,,Fonda,NY,12068,42.956069,-74.401829,0,0,0,0,0,0,2880,0,0,0,0,0,FALSE,Custom,8/2/19 14:04,1,,,Education,,,,National Grid - Upstate NY (Niagara Mohawk),,F - Capital,
1018,Facility A in zip code 12095,,,Johnstown,NY,12095,43.024817,-74.403815,0,0,0,0,0,0,1600,0,0,0,0,0,FALSE,Custom,8/2/19 14:04,1,,,Education,,,,National Grid - Upstate NY (Niagara Mohawk),,F - Capital,
1019,Facility A in zip code 12208,,,Albany,NY,12208,42.653031,-73.809978,0,0,0,0,0,0,480,0,0,0,0,0,FALSE,Custom,8/2/19 13:59,1,,,Education,,,,National Grid - Upstate NY (Niagara Mohawk),,F - Capital,
1020,Facility A in zip code 12534,,,Hudson,NY,12534,42.217345,-73.752256,0,0,0,0,0,0,1280,0,0,0,0,0,FALSE,Custom,8/2/19 13:58,1,,,Education,,,,National Grid - Upstate NY (Niagara Mohawk),,F - Capital,
1021,Facility A in zip code 12804,,,Queensbury,NY,12804,43.340954,-73.685911,0,0,0,0,0,0,960,0,0,0,0,0,FALSE,Custom,8/2/19 13:58,1,,,Education,,,,National Grid - Upstate NY (Niagara Mohawk),,F - Capital,
1022,Facility A in zip code 12901,,,Plattsburgh,NY,12901,44.703651,-73.472669,0,0,0,0,0,0,640,0,0,0,0,0,FALSE,Custom,8/2/19 13:57,1,,,Education,,,,New York State Electric and Gas,,D - North,
