Queue Pos.,Owner/Developer,Project Name,Date of IR,SP (MW),WP (MW),Type/ Fuel,County,State,Z,Interconnection Point,Utility ,S,Last Update,Availability of Studies,FS Complete/ SGIA Tender,Proposed In-Service,Proposed Initial-Sync,Proposed COD
236,"Gamesa Energy USA, LLC",Dean Wind,12/14/06,150,150,W,Tioga - Schuyler,NY,C,Watercure-Oakdale 345kV,NYSEG,0,4/30/11,,,,,
237,"Allegany Wind, LLC",Allegany Wind,1/9/07,72.5,72.5,W,Cattaraugus,NY,A,Homer Hill Ð Dugan Rd. 115kV,NM-NG,0,2/28/15,,,,,
238,"Tonawanda Creek Wind, LLC",Tonawanda Creek Wind,1/30/07,75,75,W,Genesee,NY,A,Lockport Ð Batavia 115kV,NM-NG,0,7/31/09,,,,,
239,"Western Door Wind, LLC",Western Door Wind,1/30/07,100,100,W,Yates,NY,C,Greenidge Ð Haley Rd. 115kV,NYSEG,0,1/30/12,,,,,
0239A,"Innovative Energy System, Inc.",Modern Innovative Plant,1/31/07,6.4,6.4,M,Niagara,NY,A,Youngstown Ð Sanborn 34.5kV,NM-NG,0,4/30/13,,,,,
240,"Noble Environmental Power, LLC",Farmersville Windpark,2/26/07,100,100,W,Cattaraugus-PA,NY,A,Stolle Rd - Farmer's Valley 345kV,NM-NG,0,7/31/09,,,,,
241,"Noble Chateaugay Windpark II, LLC",Chateaugay II Windpark,3/15/07,19.5,19.5,W,Franklin,NY,D,Chateaugay Substation 34.5kV,NYSEG,0,8/31/12,,,,,
242,RG&E,Brown's Race Uprate,4/9/07,6,6,H,Monroe,NY,,Brown's Race Substation,NYSEG,0,6/5/07,,,,,
243,"Astoria Energy, LLC",Astoria Uprate,4/12/07,100,230,CC,Queens,NY,J,Astoria East Substation 138kV,ConEd,0,3/31/10,,,,,
244,"AES Bainbridge, LLC",Jennison,4/13/07,650,650,C,Chenango,NY,,Oakdale Ð Fraser 345kV,NYSEG,0,3/20/08,,,,,
246,"PPM Energy, Inc",Dutch Gap Wind,6/1/07,250,250,W,Jefferson,NY,E,Indian River - Black Rive 115kV,NM-NG,0,3/1/12,,,,,
247,RG&E,Russell Station,6/11/07,300,325,CC,Monroe,NY,B,Russell Station 115kV,RG&E,0,4/30/12,,,,,
248,RG&E,Russell Station II,6/11/07,300,300,C,Monroe,NY,,Russell Station 115kV,NYSEG,0,10/2/07,,,,,
249,Hess Corporation,Bayone Energy Center II,6/20/07,250,250,D,Bayonne,NJ,,Gowanus Substation 138kV,ConEd,0,10/2/07,,,,,
252,Brookfield Power,Manhattan Cable,8/1/07,350,350,DC,New York,NY,J,World Trade Center 138 kV,ConEd,0,7/10/08,,,,,
253,"Marble River, LLC",Marble River SPS,8/13/07,TBD,TBD,AC,Clinton,NY,D,Moses-Willis-Plattsburgh 230kV,NYPA,0,6/30/12,,,,,
254,Ripley-Westfield Wind LLC,Ripley-Westfield Wind,8/14/07,124.2,124.2,W,Cahatauqua,NY,A,Ripley - Dunkirk 230kV,NM-NG,0,3/1/12,,,,,
255,"In-City, LLC",Cross Hudson,8/23/07,550,550,CC,New York-NJ,NY,J,W49th Street 345kV,ConEd,0,7/1/08,,,,,
256,"Niagara Shore Winds, LLC",Niagara Shore Wind,9/4/07,70.5,70.5,W,Niagara,NY,A,Somerset Switch Yard 345kV,NYSEG,0,3/31/10,,,,,
257,RG&E,Brown's Race Uprate,9/12/07,2,2,H,Monroe,NY,B,Beebee Station 34kV,RG&E,0,3/31/11,,,,,
258,"Babcock & Brown, LP",Ripley-Westfield Wind II,9/24/07,124.8,124.8,W,Chautauqua,NY,,Ripley - Dunkirk 230kV,NM-NG,0,10/16/07,,,,,
259,Delaware County Electric,Delaware County Landfill,9/24/07,1,1,M,Delaware,NY,,TBD,NYSEG,0,1/29/08,,,,,
261,Astoria Generating Company,South Pier Improvement,10/2/07,105,108,CT,Kings,NY,J,Gowanus 138kV,ConEd,0,3/1/12,,,,,
262,"RP Wind NY, LLC",Schoharie Highlands,10/5/07,70,70,W,Schoharie,NY,F,69kV,NM-NG,0,5/12/09,,,,,
264,RG&E,Seth Green,10/23/07,2.8,2.8,H,Monroe,NY,B,11kV,RG&E,0,3/31/14,,,,,
265,CityGreen Transmission,CityGreen,11/16/07,1100,1100,DC,Westchester-Queens,NY,"H, J",Millwood - Farragut/Rainey 345kV,ConEd,0,3/31/10,,,,,
266,"NRG Energy, Inc.",Berrians GT III,11/28/07,250,290,CC,Queens,NY,J,Astoria Annex 345kV,NYPA,0,6/30/15,,,,,
267,"Winergy Power, LLC",Winergy NYC Wind Farm,11/30/07,600,600,W,New York,NY,J,Gowanus Substation 345kV,ConEd,0,7/31/12,,,,,
268,"NRG Energy, Inc.",Arthur Kill,12/7/07,800,800,CC,New York,NY,J,Gowanus Substation,ConEd,0,7/10/08,,,,,
269,"WM Renewable Energy, LLC",Madison County Landfill,12/10/07,2,2,M,Madison,NY,,Canastota,NM-NG,0,1/29/08,,,,,
270,Wind Development Contract Co LLC,Hounsfield Wind,12/13/07,244.8,244.8,W,Jefferson,NY,E,Fitzpatrick - Edic 345kV,NYPA,0,7/31/16,,,,,
271,State Line Wind Power LLC,State Line Wind,12/20/07,124.8,124.8,W,Chautauqua,NY,A,South Ripley - Dunkirk 230kV,NM-NG,0,10/31/11,,,,,
272,NYPA,Benchmark Generator,12/20/07,900,1080,CT,Queens,NY,J,Astoria 345kV,NYPA,0,4/8/09,,,,,
273,"Winergy Power, LLC",Winergy Long Island Wind,12/21/07,299,299,W,Suffolk,NY,K,Sterling Substation,LIPA,0,7/10/08,,,,,
274,"In City I, LLC",PSEG Fossil Bergen Unit 2,1/23/08,100,100,CC,New York-NJ,NY,J,W49th Street 345kV,ConEd,0,7/10/08,,,,,
275,Shell Wind Energy Inc.,Cayuga County Wind,1/24/08,120,120,W,Cayuga,NY,C,Milliken - Wright Ave. 115kV,NYSEG,0,4/8/09,,,,,
276,"EDF Renewables Development, Inc.",Homer Solar Energy Center,1/30/08,90,90,S,Cortland,NY,C,Cortland - Fenner 115kV,NM-NG,9,11/30/19,"FES, SRIS",,Nov-23,Nov-23,Dec-23
277,UniStar Nuclear Energy,Nine Mile Point Station Unit #3,2/4/08,1640,1660,NU,Oswego,NY,C,Scriba Substation 345kV,NM-NG,0,12/22/09,,,,,
278,Riverbank Power Corporation,Riverbank Power A,2/20/08,1000,1000,PS,Niagara,NY,A,Niagara - Rochester 345kV,NYPA,0,6/24/09,,,,,
279,Riverbank Power Corporation,Riverbank Power D1,2/20/08,1000,1000,PS,St. Lawrence,NY,E,Massena 765kV,NYPA,0,3/31/10,,,,,
280,Riverbank Power Corporation,Riverbank Power D2,2/20/08,1000,1000,H,St. Lawrence,NY,E,Massena 765kV,NYPA,0,10/14/08,,,,,
281,Riverbank Power Corporation,Riverbank Power G,2/20/08,1000,1000,PS,Rockland,NY,G,West Haverstraw 345kV,ConEd/O&R,0,11/30/10,,,,,
282,Concord Wind Power LLC,Concord Wind,2/28/08,101.2,101.2,W,Chautauqua,NY,A,Dunkirk - South Ripley 230kV,NM-NG,0,5/31/11,,,,,
283,Riverbank Power Corporation,Riverbank Power J,3/3/08,1000,1000,H,Queens,NY,J,Poletti Substation 345kV,NYPA,0,4/15/08,,,,,
285,"Machias Wind Farm, LLC",Machias I,3/27/08,79.2,79.2,W,Cattaraugus,NY,A,Gardenville - Homer Hill 115kV,NM-NG,0,6/30/12,,,,,
286,"Machias Wind Farm, LLC",Machias II,3/27/08,199.5,199.5,W,Cattaraugus,NY,A,345kV,NYSEG,0,4/8/09,,,,,
287,"Horizon Wind Energy, LLC",Pomfret,3/27/08,73.5,73.5,W,Chautauqua,NY,A,Dunkirk - Falconer 115kV,NM-NG,0,9/30/10,,,,,
288,"Chateaugay River Wind Farm, LLC",Chateaugay River,3/31/08,120,120,W,Franklin,NY,E,Willis Substation 230kV,NYPA,0,2/5/09,,,,,
290,National Grid,Paradise,4/3/08,N/A,N/A,AC,Niagara,NY,A,Paradise Station 115kV,NM-NG,0,3/31/11,,,,,
291,"Long Island Cable, LLC",LI Cable - Phase 1,4/14/08,440,440,W,Suffolk,NY,K,Ruland Road 138kV,LIPA,0,7/31/12,,,,,
292,"Long Island Cable, LLC",LI Cable - Phase 2a,4/14/08,220,220,W,Suffolk,NY,K,Ruland Road 138kV,LIPA,0,7/31/12,,,,,
293,"Long Island Cable, LLC",LI Cable - Phase 2b,4/14/08,280,280,W,Suffolk,NY,K,Ruland Road 138kV,LIPA,0,12/22/08,,,,,
295,"CCH Holdings Group, LLC",Cross Hudson II,5/6/08,800,800,AC,New York-NJ,NY,J,West 49th St. Substation 345kV,ConEd,0,6/1/12,,,,,
296,"Noble Environmental Power, LLC",Harrigan Hill Wind,5/12/08,100.5,100.5,W,Clinton-Ellenburg,NY,D,Lyon Mt - Willis 115kV,NYSEG,0,7/31/09,,,,,
297,"Ashford Wind Farm, LLC",Ashford Wind,5/16/08,19.9,19.9,W,Cattaraugus,NY,A,Otto-West Valley 34.5kV,NM-NG,0,3/31/10,,,,,
298,"TCI Renewable, LLC",Leicester Wind,5/22/08,57,57,W,Livingston,NY,A,Highbank - Mortimer 115kV,NYSEG,0,8/31/10,,,,,
299,Erie Boulevard Hydropower,Great Bend,6/3/08,14.4,14.4,H,Jefferson,NY,E,Deferiet 115 kV substation,NM-NG,0,4/8/09,,,,,
300,Auburn Public Power Agency,Auburn Sewage Treatment,6/26/08,3,3,,Onondaga,NY,C,"Auburn, NY",NYSEG,0,10/14/08,,,,,
301,"Hamlin Wind, LLC",Hamlin Wind Farm,7/15/08,80,80,W,Monroe,NY,A,West Hamlin 115kV,NM-NG,0,3/31/10,,,,,
302,"Barre Wind, LLC",Barre Wind Farm,7/15/08,120,120,W,Orleans,NY,A,Lockport - Mortimer 115 KV,NM-NG,0,12/22/08,,,,,
303,"Invenergy Thermal Devel., LLC",Tioga County Energy,7/17/08,620,700,CT,Tioga,NY,C,Oakdale - Watercure 345kV,NYSEG,0,4/8/09,,,,,
304,Transmission Developers Inc.,Clay HVDC,7/18/08,2000,2000,DC,New York,NY,J,Clay to Farragut 345kV,NM-NG/ConEd,0,8/28/08,,,,,
305,TDI-USA Holdings Corporation,Champlain Hudson Power Express,7/18/08,1000,1000,DC,Quebec - NY,NY,J,Astoria Annex Substation 345kV,NYPA,0,1/31/17,,,,,
306,Transmission Developers Inc.,Clay HVDC,7/18/08,2000,2000,DC,Onondaga/New York,NY,"C, J",Clay 345kV - Sherman Creek 138 kV,NM-NG/ConEd,0,11/30/11,,,,,
307,"New York Wire, LLC",New York Wire-Phase 1,7/29/08,550,550,DC,NJ-Kings,NY,J,Gowanus Substation 345kV,ConEd,0,7/31/12,,,,,
309,AP Dutchess Properties Inc.,Wingdale Energy Center,9/11/08,650,650,CC,Dutchess,NY,G,Pleasant Valley - Long Mt.,ConEd,0,5/12/09,,,,,
310,"Cricket Valley Energy Center, LLC",Cricket Valley Energy Center,9/22/08,1019.9,1136,CC,Dutchess,NY,G,Pleasant Valley - Long Mt. 345kV,ConEd,0,12/31/14,,,,,
311,New York State Electric & Gas,Concord Casino,9/24/08,48,48,L,Sullivan,NY,E,Coopers Corner - Rock Hill,NYSEG,0,4/30/13,,,,,
312,"RP Wind NY, LLC",Gateway Wind Energy,9/25/08,79.2,79.2,W,Schenectady,NY,F,Princetown - Rotterdam,NM-NG,0,4/8/09,,,,,
313,"Atlantic Wind, LLC",Stone Church Wind,9/30/08,150,150,W,St. Lawrence,NY,E,Mc Intyre Substation 115 kV,NM-NG,0,3/31/11,,,,,
314,Riverbank Power Corporation,Oswego,10/7/08,1000,1000,PS,Oswego,NY,C,Oswego complex 345kV,NM-NG,0,6/24/09,,,,,
315,"CRC Renewables, LLC",Onondaga Renewables,10/23/08,47,47,Wo,Onondaga,NY,C,Geres Lock 115kV,NM-NG,0,1/30/12,,,,,
316,"State Line Wind Power, LLC",State Line Wind II,10/31/08,124.8,124.8,W,Chautauqua,NY,A,Dunkirk - South Ripley 230kV,NM-NG,0,10/28/09,,,,,
317,CityGreen Transmission Inc.,CityGreen AC,11/5/08,1100,1100,AC,Wsch'r/Bkln/Qns ,NY,"H, J",Millwood 345kV - Farragut/Rainey,ConEd,0,9/30/09,,,,,
319,"AES Energy Storage, LLC",Cayuga Energy Storage,12/3/08,20,20,ES,Onondaga,NY,C,Milliken 115kV,NYSEG,0,6/1/12,,,,,
320,"AES Energy Storage, LLC",Somerset Energy Storage,12/3/08,20,20,ES,Niagara,NY,A,Somerset 69kV,NYSEG,0,6/1/12,,,,,
321,Monroe County,Monroe County Landfill,1/2/09,6.4,6.4,M,Monroe,NY,B,Sanford Rd.,NM-NG,0,9/30/09,,,,,
322,"Rolling Upland Wind Farm, LLC",Rolling Upland Wind,1/13/09,59.9,59.9,W,Madison,NY,E,County Line - Brothertown 115kV,NYSEG,0,8/31/14,,,,,
323,Riverbank Power Corporation,Verplanck,1/23/09,1000,1000,PS,Westchester,NY,H,Indian Point 345kV,ConEd/O&R,0,6/24/09,,,,,
324,"Belltown Biogas, LLC",Belltown Bio,3/6/09,2,2,M,Cayuga,NY,C,King Ferry,NYSEG,0,4/8/09,,,,,
325,"Synergy Biogas, LKc",Synergy Bio,3/6/09,2,2,M,Wyoming,NY,A,Wyoming,NM-NG,0,4/8/09,,,,,
327,Con Edison,Offshore Wind,3/20/09,700,700,W,New York-Suffolk,NY,"J, K",Far Rockaway 69kV,LIPA,0,6/30/11,,,,,
328,Steuben Rural,Steuben County Landfill,3/23/09,4.8,4.8,M,Steuben,NY,C,Quarry - Bath 34.5,NYSEG,0,5/27/09,,,,,
329,"Horizon Wind Energy, LLC",Madison Wind Expansion,3/23/09,8.3,8.3,W,Madison,NY,E,County Line - Brothertown 115kV,NYSEG,0,5/27/09,,,,,
332,FitzPatrick Nuclear Station,FitzPatrick Nuclear Uprate,5/1/09,112,112,NU,Oswego,NY,C,FitzPatrick Substation,NYPA,0,6/24/09,,,,,
334,"Atlantic Wind, LLC",Sangerfield Wind,5/28/09,46,46,W,Onieda,NY,E,TBD,NM-NG/NYSEG,0,7/31/09,,,,,
335,"NextEra Energy Resources, LLC",Cold Creek Spring Wind,6/9/09,150.7,150.7,W,Cattaraugus,NY,A,Carrs Corners - Salamanca 115kV,NM-NG,0,8/31/12,,,,,
336,"Enfield Energy, LLC",Black Oak Wind,6/29/09,50,50,W,Thompkins,NY,C,Black Oak Rd 115kV,NYSEG,0,6/30/12,,,,,
338,RG&E,Brown's Race II,8/11/09,6.3,6.3,H,Monroe,NY,B,Station 137 11kV,RG&E,0,12/31/19,,,,,
339,RG&E,Transmission Reinforcement,8/17/09,N/A,N/A,AC,Monroe,NY,B,Niagara - Kintigh 345kV,RG&E,12,4/30/19,SIS,N/A,Aug-21,N/A,N/A
341,Covanta Energy,Hempstead Expansion,9/2/09,37,39,ST,Nassau,NY,K,Hempstead 138kV,LIPA,0,8/31/10,,,,,
343,"Champlain Wind Link, LLC",Champlain Wind Link I,9/29/09,600,600,AC,Clinton,NY,D,"Plattsburgh - New Haven, VT 230kV",NYPA,0,7/31/12,,,,,
344,"Champlain Wind Link, LLC",Champlain Wind Link II,9/29/09,600,600,AC,Clinton,NY,D,"Plattsburgh - New Haven, VT 345kV",NYPA,0,4/30/12,,,,,
345,St. Elizabeth Medical Center,St. Elizabeth Medical Center,11/2/09,2.3,2.3,NG,Herkimer,NY,E,,NM-NG,0,11/30/09,,,,,
346,Beacon Power,Scotia Industrial Park,11/24/09,20,20,F,Schenectady,NY,F,Spier - Rotterdam,NM-NG,0,8/31/12,,,,,
347,"Franklin Wind Farm, LLC",Franklin Wind,12/2/09,50.4,50.4,W,Delaware,NY,E,Oakdale - Delhi 115kV,NYSEG,0,1/31/19,,,,,
348,Casella Waste Systems,Hyland Landfill,12/2/09,0.8,0.8,M,Allegany,NY,B,Station 249,RG&E,0,4/30/10,,,,,
349,"Taylor Biomass Energy-Montgomery, LLC",Taylor Biomass,12/30/09,19,22.5,SW,Orange,NY,G,Maybrook - Rock Tavern 69kV,CHGE,12,12/31/17,"SRIS, FS",10/15/13,Aug-20,N/A,Apr-21
350,"Lake Erie Wind, LLC",Lake Erie Wind,2/16/10,810,810,W,Chautauqua,NY,A,Dunkirk - Gardenville 230kV,NM-NG,0,1/30/12,,,,,
351,"Linden VFT, LLC",Linden VFT Uprate,3/2/10,15,15,AC,Richmond,NY,J,Goethals 345kV,CONED,0,2/28/13,,,,,
352,WM Renewable Energy,Oneida-Herkimer Landfill,4/8/10,3.2,3.2,M,Oneida,NY,E,,,0,6/4/10,,,,,
354,"Atlantic Wind, LLC",North Ridge Wind,5/13/10,100,100,W,St. Lawrence,NY,E,Nicholville - Parishville 115kV,NM-NG,0,1/31/15,,,,,
356,Pattern Renewables,Hounsfield Wind,9/7/10,249.4,249.4,W,Jefferson,NY,E,Oswego Substation 345kV,NYPA,0,11/30/10,,,,,
357,"West Point Partners, LLC",NY Power Pathway,9/10/10,1000,1000,DC,Albany-Westchester,NY,"F, H",New Scotland - Buchanan South 345kV,NM-NG/Coned,0,2/28/13,,,,,
358,"West Point Partners, LLC",West Point Transmission,9/13/10,1000,1000,DC,"Greene, Westchester",NY,"F, H",Leeds - Buchanan North 345kV,NM-NG/ConEd,0,1/31/18,"FES, SRIS",,,,
359,National Grid,Verizon - Project Oasis,12/20/10,75,75,L,Niagara,NY,A,Somerset - Kintigh 345kV,NYSEG,0,2/28/11,,,,,
360,"NextEra Energy Resources, LLC",Watkins Glen Wind,12/22/10,122.4,122.4,W,Schuyler,NY,C,Bath - Montour Falls 115 kV,NYSEG,0,5/31/15,,,,,
361,US PowerGen Co.,Luyster Creek Energy,2/15/11,401,444,D,Queens,NY,J,Astoria West Substation 138kV,CONED,7,12/31/19,"FES, SRIS",,Jun-21,Jun-21,Jun-21
362,"Monticello Hills Wind, LLC",Monticello Hills Wind,3/7/11,19.8,19.8,W,Ostego,NY,E,W. Winfield - Richfield Spring 46kV,NYSEG,0,4/30/17,,,,,
363,"Anbaric Development Partners, LLC",Poseidon Offshore,4/27/11,500,500,W,NY - Suffolk,NY,K,Ruland Rd. 138kV,LIPA,10,3/31/19,"FES, SRIS, FS",2/2/17,Jul-20,Nov-20,Jan-21
364,"Bruce Hill Wind, LLC",Bruce Hill Wind,5/4/11,18,18,W,Delaware,NY,E,Axtell Road Substation 115 kV,NYSEG,0,9/30/12,,,,,
365,Transmission Developers Inc.,Champlain Hudson SPS,7/15/11,TBD,TBD,AC,Queens,NY,J,Astoria and Farragut Subsations,ConEd/NYPA,0,12/31/12,,,,,
366,"NextEra Energy Resources, LLC",Watkins Glen East,8/2/11,150.6,150.6,W,Schuyler,NY,C,Montour Falls Substation,NYSEG,0,10/31/12,,,,,
367,Orange & Rockland,North Rockland Transformer,9/14/11,N/A,N/A,AC,Rockland,NY,G,Line Y94 345kV,ConEd,0,7/31/18,,,,,
369,"Clover Leaf Power, LLC",Clover Leaf Hollers Ave,10/24/11,173.9,192.8,CT,Bronx,NY,J,E 179th St. Subsation 138kV,ConEd,0,12/31/13,,,,,
370,"Smokey Avenue Wind, LLC",Smokey Avenue Wind,10/28/11,18,18,W,Otsego,NY,F,Worcester - Schenevus 23kV,NM-NG,0,1/31/14,,,,,
371,"South Mountain Wind, LLC",South Mountain Wind,10/31/11,18,18,W,Delaware,NY,E,River Rd Substation 46kV,NYSEG,0,1/31/18,,,,,
372,"Dry Lots Wind, LLC",Dry Lots Wind,10/31/11,33,33,W,Herkimer,NY,E,Schuyler - Whitesboro 46kV,NM-NG,7,11/30/18,"FES, SIS",,Nov-20,Oct-20,Dec-20
374,"CPV Valley, LLC",CPV Valley II,2/21/12,820,820,CC,Wawayanda,NY,G,Rock Tavern-Coopers Corners 345kV,NYPA,0,9/30/15,,,,,
376,"Ridgeline Energy, LLC",Troups Creek Wind,3/7/12,32,32,W,Steuben,NY,C,Troupsburg Substation,NYSEG,0,4/30/12,,,,,
0376A,"Atlantic Development, LLC",Atlantice Development,3/15/12,N/A,N/A,W,N/A,,N/A,N/A,N/A,0,7/31/09,,,,,
377,Monroe County,Monroe County Mill Seat,3/16/12,3.2,3.2,M,Monroe,NY,B,Sanford Rd. 34.5kV,NM-NG,0,4/30/16,,,,,
379,"Seneca Energy II, LLC",Seneca II Expansion,4/24/12,6.4,6.4,M,Seneca,NY,C,Seneca - Waterloo 34.5kV,NYSEG,0,5/31/13,,,,,
381,Clipper Wind Power Development,Paragon Wind,5/15/12,79.9,79.9,W,Steuben-Schuyler,NY,C,Stony Ridge - Hillside 230kV,NYSEG,0,10/31/12,,,,,
382,Astoria Generating Co.,South Pier Improvement,5/30/12,91.2,95.5,CT,Kings,NY,J,Gowanus Substation 138kV,ConEd,0,3/31/18,,,,,
383,"NRG Energy, Inc.",Bowline Gen. Station Unit #3,5/30/12,775,814,CC,Rockland,NY,G,Ladentown Substation 345kV,O&R,0,7/31/19,,,Jan-22,,Jun-22
384,National Grid,Knickerbocker Pleasant Valley,6/15/12,TBD,TBD,AC,Columbia-Dutchess,NY,"F, G",Knickerbocker - P. Valley 345kV,NM-NG/ConEd,0,5/31/16,,,,,
385,National Grid,Hudson Valley Reinforcement,6/15/12,TBD,TBD,AC,Alb.-Col.-Dutch.,NY,"F, G",N. Scotland-Leeds-P. Valley 345kV,NM-NG/ConEd,0,2/28/15,,,,,
386,"Vermont Green Line Devco, LLC",Grand Isle Intertie,6/28/12,400,400,DC,Clinton,NY,D,"Plattsburgh 230kV-New Haven, VT 345kV",NYPA,6,11/30/18,"FES, SIS",,Dec-23,N/A,N/A
387,"Cassadaga Wind, LLC",Cassadaga Wind,7/19/12,126,126,W,Chautauqua,NY,A,Dunkirk - Moon Station 115 kV,NM-NG,11,12/31/19,"FES, SRIS, FS",7/9/19,May-20,May-20,Dec-20
388,Enel Green Power North America,Dexter Solar,7/24/12,17,17,S,Jefferson,NY,E,Dexter Stubstation,NM-NG,0,9/30/12,,,,,
389,"GUSC Energy, Inc.",Griffiss Technology Park,8/14/12,0.9,0.9,ST,Oneida,NY,E,Boonville - Rome 115kV,NM-NG,0,9/30/12,,,,,
391,"North America Transmission, LLC",Edic - Fraser #2,9/21/12,TBD,TBD,AC,Oneida-Delaware,NY,E,Edic - Fraser 345kV,NM-NG/NYSEG,0,1/31/16,,,,,
392,Exelon Corporation,Scriba-Volney,10/5/12,TBD,TBD,AC,Oswego,NY,C,Scriba - Volney 345kV,NM-NG/NYSEG,0,5/31/16,,,,,
393,"NRG Berrians East Development, LLC",Berrians East Replacement,10/16/12,94.2,57,D,Queens,NY,J,Astoria East Substation 138kV,CONED,11,12/31/19,"FES, SRIS, FS",7/9/19,Jul-22,Oct-22,Feb-23
396,"Baron Winds, LLC",Baron Winds,11/30/12,300,300,W,Steuben,NY,C,Hillside - Meyer 230kV,NYSEG,10,7/31/19,"FES, SRIS, FS",7/9/19,May-20,May-20,Dec-20
0396A,New York State Electric & Gas,Wood Street Transformer,12/14/12,N/A,N/A,AC,Putnam,NY,G,Wood St. 345/115kV,NYSEG,6,12/31/19,SIS,,Dec-21,N/A,N/A
398,"Black Oak Wind Farm, LLC",Black Oak Wind,1/10/13,12.5,12.5,W,Thompkins,NY,C,Montour - Coddington 115kV,NYSEG,0,8/31/17,,,,,
399,American Electric Power,Mohawk Valley HVDC,2/27/13,1000,1000,DC,Oneida-Bronx,NY,"E, J",Marcy - Mott Haven 345kV,NYPA/ConEd,0,6/30/13,,,,,
400,East Coast Power LLC,Linden Cogen Uprate,3/4/13,208,204,CT,Linden,NJ,J,Linden Cogen 345kV,ConEd,0,10/31/15,,,,,
401,"Caithness Long Island II, LLC",Caithness Long Island II,3/22/13,599,632,D,Suffolk,NY,K,Sills Road Substation 138kV,LIPA,0,9/30/18,,,,,
402,NextEra Energy Transmission,Marcy - PV 345,5/17/13,TBD,TBD,AC,Oneida-Dutchess,NY,E-G,Marcy - P. Valley 345kV,NM-NG/NYPA/ ConEd,0,2/28/15,,,,,
404,NextEra Energy Transmission,Princetown - Rotterdam 230,6/4/13,TBD,TBD,AC,Schenectady,NY,F,Princetown - Rotterdam 230kV,NM-NG,0,5/31/16,,,,,
405,NextEra Energy Transmission,Oakdale - Fraser 345,6/21/13,TBD,TBD,AC,Broome-Delaware,NY,"C, E",Oakdale - Fraser 345kV,NYSEG,0,12/31/15,,,,,
406,NextEra Energy Transmission,Marcy - KB - PV 345,6/21/13,TBD,TBD,AC,Oneida-Dutchess,NY,E-G,Marcy - P. Valley 345kV,NM-NG/NYPA/ ConEd,0,2/28/15,,,,,
407,National Grid,Edic-N.Scotland-Leed-PV,7/1/13,TBD,TBD,AC,Oneida-Dutchess,NY,E-G,Edic - Pleasant Valley 345kV,NM-NG,0,2/28/15,,,,,
408,National Grid,Edic-Princetown-N.Scotland-Leeds-PV,7/1/13,TBD,TBD,AC,Oneida-Dutchess,NY,"E, G",Edic - Pleasant Valley 345kV,NM-NG,0,2/28/15,,,,,
409,National Grid,Edic-Knickerbocker-PV,7/1/13,TBD,TBD,AC,Oneida-Dutchess,NY,"E, G",Edic - Pleasant Valley 345kV,NM-NG,0,2/28/15,,,,,
410,National Grid,Edic-Princetown-Knickerbocker-PV,7/1/13,TBD,TBD,AC,Oneida-Dutchess,NY,"E, G",Edic - Pleasant Valley 345kV,NM-NG,0,2/28/15,,,,,
411,BCDC Transmission LLC,BCDC Transmission,7/1/13,400,400,AC,New York,NY,J,NJ - Farragut Substation 345kV,ConEd,0,12/31/13,,,,,
412,New York State Electric & Gas,Oakdale - Fraser 345,8/20/13,N/A,N/A,AC,Broome-Delaware,NY,"C, E",Oakdale - Fraser 345kV,NYSEG,0,7/31/16,,,,,
413,National Grid,Edic-Prince.-N.Scotland-Knick.-PV,8/21/13,TBD,TBD,AC,Oneida-Dutchess,NY,"E, G",Edic - Pleasant Valley 345kV,NM-NG,0,2/28/15,,,,,
414,"North America Transmission, LLC",Segment B Enhanced,9/5/13,N/A,N/A,AC,Albany-Dutchess,NY,"F, G",New Scotland - P. Valley 345kV,NM-NG/ConEd/ O&R/CHGE,0,4/30/19,,,,,
415,Iberdrola USA,Connect New York,9/6/13,1000,1000,DC,Albany-Dutchess,NY,"F, G",New Scotland - Hurley Ave 345kV,NM-NG/Cen Hud,0,10/31/14,,,,,
416,NextEra Energy Transmission,Marcy - KB - PV 345 (2),9/9/13,TBD,TBD,AC,Oneida-Dutchess,NY,"E, G",Marcy - P. Valley 345kV,NM-NG/NYPA/ ConEd,0,2/28/15,,,,,
417,NextEra Energy Transmission,Marcy - KB - PV 345 (3),9/9/13,TBD,TBD,AC,Oneida-Dutchess,NY,"E, G",Marcy - P. Valley 345kV,NM-NG/NYPA/ ConEd,0,5/31/16,,,,,
418,NextEra Energy Transmission,Marcy - NS - PV 345,9/9/13,TBD,TBD,AC,Oneida-Dutchess,NY,"E, G",Marcy - P. Valley 345kV,NM-NG/NYPA/ ConEd,0,3/31/15,,,,,
419,NextEra Energy Transmission,Marcy - NS - KB - PV 345,9/16/13,TBD,TBD,AC,Oneida-Dutchess,NY,"E, G",Marcy - P. Valley 345kV,NM-NG/NYPA/ ConEd,0,5/31/16,,,,,
420,NextEra Energy Transmission,Marcy - KB - PV 345 (4),9/16/13,TBD,TBD,AC,Oneida-Dutchess,NY,"E, G",Marcy - P. Valley 345kV,NM-NG/NYPA/ ConEd,0,2/28/15,,,,,
421,EDP Renewables North America LLC,Arkwright Summit,11/1/13,78.4,78.4,W,Chautauqua,NY,A,Dunkirk - Falconer 115 kV,NM-NG,14,7/31/19,"SRIS, FS",7/9/19,,,I/S
